kf_id,ssrq_id,kf_name,ssrq_name,ssrq_years,ssrq_uri,present_in_ssrq,name_match
per000089,000089,Rudolf von Habsburg-Österreich,Rudolf von Habsburg-Österreich,"[1218, 1273, 1291, 2017]",<http://ssrq-sds-fds.ch/Register/#per000089>,True,True
per000218,000218,Hartmann von Windegg,Ulrich NN,"[1240, 1265, 1274, 1313, 1322, 1342, 1349, 1363, 2018]",<http://ssrq-sds-fds.ch/Register/#per000218>,True,False
per000227,000227,Klaranna von Hohenklingen,Claranna von Hohenklingen,"[1380, 1422, 2020]",<http://ssrq-sds-fds.ch/Register/#per000227>,True,False
per000325,000325,Rüdiger Manesse,Rüdiger Manesse,"[1336, 1360, 1383, 1809]",<http://ssrq-sds-fds.ch/Register/#per000325>,True,True
per000335,000335,Rudolf von Habsburg-Österreich,Konrad von Wolfurt,"[1304, 1339, 1349, 1350, 1351, 1358, 1364, 1365, 1386, 1395, 2019, 2021]",<http://ssrq-sds-fds.ch/Register/#per000335>,True,False
per000336,,Albrecht von Habsburg-Österreich,,,,False,
per000337,,Leopold von Habsburg-Österreich,,,,False,
per000342,000342,Leopold von Habsburg-Österreich,Amadeus von Savoyen,"[1252, 1253, 1290, 1296, 1323, 1326, 1329, 1330, 1756, 1785, 2019, 2020, 2021]",<http://ssrq-sds-fds.ch/Register/#per000342>,True,False
per000343,,Katharina von Habsburg-Österreich,,,,False,
per000346,000346,Friedrich von Habsburg-Österreich,Sigismund von Luxemburg,"[1368, 1382, 1410, 1411, 1415, 1418, 1433, 1437, 1438, 1439, 2020, 2021]",<http://ssrq-sds-fds.ch/Register/#per000346>,True,False
per000347,000347,Albrecht von Habsburg-Österreich,Hermann von Landenberg,"[1298, 1300, 1331, 1358, 1361, 1934, 2020, 2021]",<http://ssrq-sds-fds.ch/Register/#per000347>,True,False
per000348,,Hermann von Landenberg,,,,False,
per000357,000357,Heinrich Gessler,Heinrich Gessler,"[1358, 1359, 1386, 1387, 1395, 1403, 1408, 2020]",<http://ssrq-sds-fds.ch/Register/#per000357>,True,True
per000368,,Peter von Grifensee,,,,False,
per000387,,Leopold von Habsburg-Österreich,,,,False,
per000388,,Engelhard von Weinsberg,,,,False,
per000443,000443,Ulrich Thüring von Brandis,Hans Propst,"[1356, 1375, 1409, 1418, 1425, 2020]",<http://ssrq-sds-fds.ch/Register/#per000443>,True,False
per000462,000462,Hans von Grifensee,Konrad Schindler,"[1223, 1442, 1443, 1444, 1450, 1453, 1493, 1494, 1929, 2018, 2020]",<http://ssrq-sds-fds.ch/Register/#per000462>,True,False
per000492,000492,Innozenz Papst,Innozenz VIII. (Papst),"[1432, 1484, 1492]",<http://ssrq-sds-fds.ch/Register/#per000492>,True,False
per000510,,Hans von Thierstein,,,,False,
per000519,,Heinrich Chur,,,,False,
per000585,000585,Rudolf Hofmeister,Rudolf Hofmeister,"[1365, 1375, 1385, 1419, 1428, 1435, 1439, 1451, 1884, 2021]",<http://ssrq-sds-fds.ch/Register/#per000585>,True,True
per000604,000604,Ulrich Klingenfuss,Ulrich Klingenfuss,"[1413, 1428, 2020]",<http://ssrq-sds-fds.ch/Register/#per000604>,True,True
per000605,,Hartmann Schmid,,,,False,
per000712,,Sigismund von Luxemburg,,,,False,
per000719,000719,Andreas von Waldburg,Friedrich von Wartenberg,"[1304, 1423, 1428, 1454, 1483, 1511, 2020]",<http://ssrq-sds-fds.ch/Register/#per000719>,True,False
per000740,,Michael Stebler,,,,False,
per000743,,Rudolf von Cham,,,,False,
per000778,000778,Heinrich von Hunwil,Heinrich von Hunwil,"[1415, 1418, 1461, 1462, 1468, 1470, 1473, 1474, 2017]",<http://ssrq-sds-fds.ch/Register/#per000778>,True,True
per000781,000781,Hans Wiser,Hans Wiser,"[1452, 1461, 1462, 1467, 2019]",<http://ssrq-sds-fds.ch/Register/#per000781>,True,True
per000790,000790,Hans Schübelbach,Hans Schübelbach,"[1467, 1473, 1480]",<http://ssrq-sds-fds.ch/Register/#per000790>,True,True
per000794,000794,Friedrich von Habsburg-Österreich,Friedrich von Habsburg-Österreich,"[1274, 1415, 1493, 2017]",<http://ssrq-sds-fds.ch/Register/#per000794>,True,True
per000811,000811,Albrecht von Habsburg-Österreich,Albrecht von Habsburg-Österreich,"[1418, 1463]",<http://ssrq-sds-fds.ch/Register/#per000811>,True,True
per000812,000812,Maximilian von Habsburg-Österreich,Maximilian von Habsburg-Österreich,"[1413, 1459, 1486, 1508, 1519, 2020]",<http://ssrq-sds-fds.ch/Register/#per000812>,True,True
